MSH,"Tell Mishrifeh (/ Tall al-Mišrifa / al-Mašrafa = Qaṭna), Signatur der Funde."
Msk. / MSK,"Tell Meskene(/Emar), Signatur der Funde."
Mşt.,"Maşat-Höyük, Tafelsignatur."
N / N.,"Nippur (University Museum, Philadelphia), Museumssignatur."
NBC,"Nies Babylonian Collection (Yale University, New Haven), Signatur."
NCBT,"Newell Collection of Babylonian Tablets (jetzt Yale University, New Haven), Signatur."
ND,"Nimrūd Documents (London und Baghdad), Signatur der Texte."
Ni.,"Nippur (Istanbul), Museumssignatur."
Nin.,"Ninive (Ashmolean Museum, Oxford), Museumssignatur."
N-T / NT,"Nippur-Texte (Chicago, Baghdad), Signatur der Funde."
O,"Musée du Cinquantenaire (Musées royaux d’Art et d’Histoire, Brüssel), Museumssignatur."
O,"Oheimir (Istanbul), Museumssignatur."
O / O.,"Musée du Cinquantenaire (Musées royaux d’Art et d’Histoire, Brüssel), Museumssignatur."
Or.,"Ortaköy, Signatur der Funde."
PF,"Persepolis Fortification tablets, Tafelsignatur (neue Benennung seit R. T. Hallock, Persepolis fortification tablets [= OIP 92, 1969], für eine Konkordanz mit der älteren Benennung „Fort.“ s. ibid. S. 12; für Konkordanzen mit PFS s. ibid.)"
PFNN,"Persepolis Fortification tablets, Tafelsignatur unpubl. Texte (beziffert und transliteriert von R. T. Hallock)."
PFS,"Persepolis Fortification tablets, Signatur der Siegelabdrücke (für Konkordanzen von PFS zu PF"
PG,"Private Grave (Cemetery of Ur), Signatur."
PT,"Persepolis Treasury tablets, Tafelsignatur (entspricht den Textnummern in PTT)."
PTS,"Princeton Theological Seminary, Signatur der Sammlung."
PTS,"Persepolis Treasury tablets, Signatur der Siegelabdrücke (für Konkordanzen mit PFS s. PSS 125–137)."
RFH,"R. F. Harper Collection (Chicago), Signatur der Sammlung."
RIH,"Ra’s Ibn Hāni’, Tafelsignatur."
Rm.,"Rassam (British Museum, London), Signatur."
RS / RŠ,"Ras Shamra (Louvre und Damaskus), Museumssignatur; s. a. RSL."
RSL,"Ras Shamra Louvre, Museumssignatur."
